"Component Count:","66"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, C4, C5, C6, ","6","10nf","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"D1, D2, D3, D4, D5, D6, D7, D8, ","8","1N5711","D","Diode_THT:D_A-405_P7.62mm_Horizontal","Diode",""
"D9, D10, D11, D12, ","4","D","D","Diode_THT:D_A-405_P7.62mm_Horizontal","Diode",""
"J1, J2, J3, J4, J5, J6, J7, ","7","AudioJack2","AudioJack2","","Audio Jack, 2 Poles (Mono / TS)",""
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R12, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R28, R29, R30, R31, ","25","1k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R11, R13, ","2","4.99k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R24, R32, ","2","100k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R25, R27, R33, R34, R35, R36, R37, ","7","499r","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"R26, R40, ","2","100r","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","Resistor",""
"U1, U2, U3, ","3","ADA4851-4","ADA4807-4","","Quad Rail-to-Rail Input/Output Amplifiers, TSSOP-14",""
